"Lake","Day","Treatment","Chla"
"Windermere_North",0,"Control",0
"Windermere_North",0,"N",0
"Windermere_North",0,"P",0
"Windermere_North",0,"NP",0
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.003
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.003
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.003
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.003
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.003
"Windermere_North",7,"Control",0.002
"Windermere_North",7,"N",0.002
"Windermere_North",7,"P",0.002
"Windermere_North",7,"NP",0.002
"Windermere_North",14,"Control",0.003
"Windermere_North",14,"N",0.002
"Windermere_North",14,"P",0.006
"Windermere_North",14,"NP",0.006
"Windermere_North",14,"Control",0.002
"Windermere_North",14,"N",0.003
"Windermere_North",14,"P",0.006
"Windermere_North",14,"NP",0.004
"Windermere_North",14,"Control",0.002
"Windermere_North",14,"N",0.002
"Windermere_North",14,"P",0.007
"Windermere_North",14,"NP",0.004
"Windermere_North",14,"Control",0.002
"Windermere_North",14,"N",0.002
"Windermere_North",14,"P",0.003
"Windermere_North",14,"NP",0.005
"Windermere_North",14,"Control",0.002
"Windermere_North",14,"N",0.002
